APPDATA_TEMP_FOLDER ,HIDDEN_PROCESS ,MALICIOUS_MUTEX ,BACKDOOR ,NETWORK_DLL ,SUSPICIOUS_PORT_CONNECTION ,WRITE_MEMORY ,HOOK ,SUSPICIOUS_SECTION ,DLL_APPDATA_TEMP_PATH,Malware
1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,1,1,0,1
0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,1,1,0
0,0,0,0,1,0,0,1,1,0,1
0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,1,0,0,1,1,0,0
1,0,0,0,0,0,0,1,1,1,0
0,0,0,0,1,0,0,1,1,0,1
0,0,0,0,0,0,0,1,1,1,0
0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,1,1,1,0
1,0,0,0,1,0,0,1,0,1,1
0,0,0,0,0,0,0,1,1,1,0
0,0,0,0,0,0,0,1,1,0,0
1,0,0,0,0,0,0,1,0,1,0
0,0,0,0,1,0,0,1,1,0,1
0,0,0,0,1,0,0,1,0,1,0
0,0,0,0,0,0,0,1,1,0,0
1,0,0,0,0,0,0,1,1,1,0
1,0,0,0,1,0,0,1,0,1,1
0,0,0,0,0,0,0,1,1,1,0
0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,1,1,1,0
0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,1,0,0,1,1,0,0
1,0,0,0,0,0,0,1,1,1,0
0,0,0,0,1,0,0,1,1,0,1
0,0,0,0,0,0,0,1,1,1,0
0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,1,1,1,0
0,0,0,0,1,0,0,1,1,1,1
0,0,0,0,0,0,0,1,1,1,0
0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,1,1,0,1
0,0,0,0,0,0,0,1,1,1,0
0,0,0,0,0,0,0,1,1,0,0
1,0,0,0,0,0,0,1,1,0,0
1,0,0,0,1,0,0,1,0,1,1
0,0,0,0,0,0,0,1,1,1,0
0,0,0,0,1,0,0,1,1,0,0
1,0,0,0,0,0,0,1,1,0,0
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,1,1,0
1,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,1,1,1,0
0,0,0,0,0,0,0,1,1,0,0
1,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,1,1,1,1
0,0,0,0,1,0,0,1,1,0,0
0,0,0,0,1,0,0,1,1,0,0
1,0,0,0,0,0,0,1,1,0,0
1,0,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,0,1,1,1,0
0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,1,1,0,0
0,0,0,0,1,0,0,1,1,0,1
0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,1,1,0,0
1,0,0,0,0,0,0,1,1,0,0
0,0,0,0,1,0,0,1,1,0,1
0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,1,1,0
1,0,0,0,0,0,0,1,1,0,0
0,0,0,0,1,0,0,1,1,0,1
0,0,0,0,0,0,0,1,1,1,0
0,0,0,0,1,0,0,1,1,0,0
1,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,1,1,0
1,0,0,0,0,0,0,1,1,0,0
0,0,0,0,1,0,0,1,1,0,1
1,0,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,0,1,1,0,0
1,0,0,0,0,0,0,1,1,0,0
0,0,0,0,1,0,0,1,0,1,1
0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,1,1,0,0
1,0,0,0,1,0,0,1,1,1,1
0,0,0,0,0,0,0,1,1,1,0
0,0,0,0,1,0,0,1,1,0,0
1,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,1,1,1,0
0,0,0,0,0,0,0,1,1,0,0
1,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,1,1,1,0
0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,1,0,0,1,1,0,0
1,0,0,0,0,0,0,1,1,0,0
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,1,1,1,0
0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,1,1,0,0
1,0,0,0,1,0,0,1,0,1,1
0,0,0,0,0,0,0,1,1,1,0
0,0,0,0,1,0,0,1,1,0,0
1,0,0,0,0,0,0,1,1,0,0
0,0,0,0,1,0,0,1,1,0,1
0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,1,1,1,0
0,0,0,0,1,0,0,1,1,0,1
0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,1,1,1,0
0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,1,1,0,0
0,0,0,0,1,0,0,1,1,0,0
0,0,0,0,1,0,0,1,1,0,0
1,0,0,0,0,0,0,1,1,0,0
1,0,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,0,1,1,1,0
0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,0
